,transcriptcomponentid,transcriptid,companyid,companyname,componenttext,Rating
716758,46982629,1133240,277854,"Hawaiian Electric Industries, Inc.","Correct. Right. And it does not affect the cash collection from customers because that always was starting at June, so it's only the GAAP accrual of the revenues.",0
1320566,72820598,1861171,546623668,Fox Corporation,"And Michael, John. Just adding those key markets, which were pretty well missed, the only one who's missing when you look at our footprint, particularly for the NFL and the other sports we're in, is just a big revenue upside for us, helps on both the national and the local level. And we achieve cost synergies, too. Given the size of the station group that we have, we just would naturally achieve some cost synergies there.",2
1371696,75586276,1922605,280458,"IDACORP, Inc.","This is Mitch Colburn who kind of runs our IRP processes, is on the line with us today also.",0
1325034,72960613,1864875,319122,"National Vision Holdings, Inc.","Paul, thank you. Yes, and by the way, we're very encouraged by the news this morning. We'll see if it definitive or not but it sure was encouraging, the tariffs side this morning. There are a variety of different levers that one can pull to help mitigate these things, and we look at all of them. We study all them. We don't provide too much guidance overall for competitive reasons. We're the only public company really pure-play in our category, so we'd like to not share in detail exactly how we're doing this. 
I will say that over the years, we have periodically and episodically taken peripheral pricing action. We never -- we don't change our core offer of -- our banner offer. But we have, over the years, done that here and there, and that is one of the levers that is available. 
And the second question about OD -- could you repeat the question you had on OD?",1
1316929,72778151,1860285,36652,"Kratos Defense & Security Solutions, Inc.","Yes, Josh that was increased by about $2 million and total CapEx has not increased. But the components within the CapEx for Unmanned shifted a little bit. And those are -- those are targets that we own, that we have the IP on.",0
1098309,63464697,1610553,293286,Occidental Petroleum Corporation,"I just want to say thank you all for your questions today. We're excited about where we're headed, and we'll continue to increase our opportunities and get better. So thank you all. Have a great day. Bye.",0
508007,35488013,818058,338134,Eagle Materials Inc.,"Kathryn, as Steve mentioned, I mean, the wet plant and the mine are down during the winter months given the seasonality up that north. So, you, for accounting purposes, expense fixed costs through that time period. You're talking roughly $1 million, maybe a little bit more than that. Given that we're starting up another plant, as Steve alluded to, it's difficult to look at that perfectly, but that would have been the impact during the quarter.",0
1328268,73178358,1870124,578432369,Garrett Motion Inc.,"In fact, it's -- there is an increasing interest, but it's not too recent. We've seen that for the last 2, 3 years. That's not only linked to what's happening next year because pretty much with what's happening next year, everything is casted already. Carmakers, we cannot launch 50% new vehicles in the next year. Pretty much, a lot of the vehicles that will be available for sale next year are already into the market. So it's not so much the reaching the target of next year that's driving the discussions, but then, the trend that the carmakers are anticipating for 2025 and beyond that. 
As you know, this industry -- this automotive industry is having a cycle time. Sometimes when we want to push for innovation, that cycle time we feel it, too slow. And -- but at the same time, it provides long-term view for where the technology is going. And people need to work in advance of those milestones to convert their engines. So I would say when you look at it, your point is absolutely right. There are increased interest, whether it's for hybrids or pure internal combustion engine, but I would say hybrid, the interest is driving a lot more technology on the turbocharger side pretty much driven by post-2021 moves whether in Europe and China.",1
1266641,70329771,1795981,278111,Hecla Mining Company,That's exactly it. And at this point we don't have a plan with respect to the outcrop that we've seen. We're still getting assays and still trying to evaluate what it is. And then we'd have to fund the budget to spend. But certainly at this point the intention is go from known to less known.,0
251860,17771024,371627,368787,"Group 1 Automotive, Inc.","Well, I think the obvious place, obviously, is Toyota and Honda, with their supply this year, and those brands are trying to recover market share. But that dynamic basically sucks everyone in to that highly competitive game. Nissan, obviously, is trying to defend their market share. Ford, General Motors and Chrysler, have to compete also. So all the volume brands, I think, are a bit more competitive this year. And the dynamic is driven by Toyota and Honda, I believe.",1
544430,38330029,894270,393940,"Plains All American Pipeline, L.P.","Well, there -- yes. No, nothing other than what's been announced.",0
29403,7098571,103890,28671,"Skilled Healthcare Group, Inc.","Okay, I'd like to thank everybody for joining the call. We're excited about the year that we had in 2010, and we're really looking forward to 2011. Thank you.",0
404841,26797852,590055,34817,"Builders FirstSource, Inc.","Right. It did slow turns up a bit, but not near as much of an impact as it was so far this quarter.",-1
1086466,63016523,1596907,27763231,ViacomCBS Inc.,"Yes. Obviously, you're referring to CBS All Access because Showtime, obviously, there's no delay.",-1
752169,48635379,1182500,245507,Visteon Corporation,"Yes. So we are very happy with the JVs that we have, and we do not expect to see or need any change in that direction.",1
63951,9423022,146758,281438,International Game Technology,"And the MLD number, just generally, not as a sub-set [ph] of the Universal Slant, but with just south of 50% this quarter.",0
265221,18171356,380275,32389646,"Cinemark Holdings, Inc.","We had a very small effect although we remain very concerned about the victims of Sandy and the impact in the overall region. In fact, the company had led a contribution drive to raise some funds to help the victims. But for our theaters themselves, we were closed down 1 or 2 days in the theaters in the area, and we only had one theater -- or one auditorium and one theater that was affected on any kind of permanent basis and so it had very little impact.",-1
660649,78615783,2008445,175749,Equifax Inc.,"I don't think there's any one lever that on [ MGI ] -- EGI that gives us -- at a business unit level. As I've said for quite some time, EWS, it has got the longest growth potential we have and all of which are during 2017 as well. But the neat thing is the performance spread as you've seen is so broad-based across verticals, countries, BUs, EGI and products. It might will be another big EGI that comes up or another big NPI product that might come up. I think mobile offers some really interesting opportunity for us. I think shredded data beyond just a credit file offers some opportunity for us. Maybe we'll see this underwriter -- the desktop underwriter platform that's incorporating the use of verification income employment that might provide some upside, but it's really not broad-based.",1
1489275,82497751,2099063,254679,"Applied Industrial Technologies, Inc.","Yes. So as we do that, both with our supplier products and as we talk with customers and as we think about Internet of Things in technology, we're not missing the beat at using technology to improve or drive our own internal productivity. I think we always have a focus on that. But as we think about warehouse management opportunities and flow of material and put away, as we think about routines and practices that we can have in Service Centers and technology to help with shared services or pull out more what has been more manual or mundane task out of those operations and free up time for those individuals to spend more time connecting with customers and quotes and quote follow-ups, we'll continue to work those. I like some of the things we've done. I still feel like we have a nice runway to also help ourselves.",1
1430246,78457637,2004106,35922,GrafTech International Ltd.,"Last year, we indicated that our production at Seadrift was roughly 125,000 metric tons. That will be lower than that this year, Curt, because of the 1-month turnaround.",-2
330307,21536002,460747,9732251,Prospect Capital Corporation,"That's what I'm talking about, basically digesting what you do, you know what I'm saying?",0
529707,38281664,892894,319993,MGIC Investment Corporation,"Jack, at this point, that will be hard to have a high degree of confidence in a reasonable time frame that we would be all of a sudden migrating down to 700 be a fundamental shift that occurs from FHFA and the GSEs relative to how they view credit enhancement transfers with the primary, with the policy and the losses, et cetera. That has a lot to do with -- as well as what lenders would charge for their compliance efforts on it. So not in the near term, no.",-1
165727,14080270,286403,248501,"Alaska Air Group, Inc.","If I understand your question, I mean, we have our comps so in 2011 on the mainline side, we have a higher comp to deal with. We have about 8.5% growth in 2011. April was 4.7% last year and June was 6.8%. I suppose without getting into detail there is that I suppose I feel very good about how we're tracking and how we expect to track with our PRASM. And if you just look at history, I don't see anything earth shattering differently than that.",2
701580,46528059,1121419,368470,"C.H. Robinson Worldwide, Inc.","I don't mean to sound like a bit of a broken record, but I'm going to go back and reemphasize, we've got a great LTL service team. So we've got great people, and we've got great carriers. So when you combine it -- and some really good technology that allows us to the -- we're the largest LTL broker by a wide margin, a multiple of our other competitors. And the reason that is, is we've got a great service to sell our customers. We have a great value proposition that our people are out there in the NAST network selling every day. And we've got a great LTL service team that backs them up because they've got great relationships with the LTL carriers. And those LTL carriers have been able to provide us a great service. We go and we are able to effectively sell a solution to customers, and we partner with those carriers. And I think it matters to them that we are a partner for them in providing a valuable service to our customers. So other people are going to continue to enter the space. They have been. There are truckload only, there's some smaller competitors that are in the marketplace. We respect them but our team has been and will always be on its toes and continue to drive the best-in-class results that they have.",1
837345,52830889,1315483,113329,"Greenhill & Co., Inc.","Look, I think the -- one of the attractive elements of the kind of debt that we issued is that it's very, very flexible on repayment. And certainly, we'll make sure to keep a prudent amount of cash on the balance sheet. But beyond that, there's no real need to stockpile it. We're not going to focus on dividends for a while. We're not going to focus on share buyback beyond the very large amount we're talking about upfront. And we're not a big one for sort of cash acquisitions or capital expenditures or anything like that. 
So our goal would be to pay the debt down as fast as we possibly can. And I think if we started off with a strong year, I think you'd certainly see us do that at a much faster rate than what's required by the loan documentation, which is meant to be sort of a bare minimum as opposed to a larger amount. And again, there's no penalty at all to repaying on a cash flow. So we've had every incentive to do it as quickly as possible, and obviously, the deleveraging is a big part of our equity story going forward. So we have yet another reason to do that.",-1
851222,53513252,1333112,262033,"Coeur Mining, Inc.","Slightly capital lease, I'll get you an answer on that.",0
1527043,90544340,2370754,139813,PG&E Corporation,"Yes. One of the things we are very careful not to do in our announcement to our local community about the undergrounding effort is to not put a ceiling on how much we thought we could get done by when. Our objective is to do more faster, Jonathan. 
And so as Adam talked about a day that we could imagine ourselves beyond 1,000 miles a year. When we think about today, we're closer to 70 miles in a year. We know that curve to 1,000 is going to take some time, but we want to -- I think of it like this, Jonathan. I think of it as right now, we're building Model Ts in Henry Ford's old factory, and we're about to turn on the assembly line. And so that's really what's on our mind. 
And so we're not capping our forecast, and that's why we're not giving an end date because we're working that plan with our engineers as we speak. The reason for announcing it before the plan was all noted down is because we wanted to get the input of critical stakeholders. 
We want to engage with our tribal leaders, with our environmental groups, with our local communities and determine the best place to do that undergrounding first. We know there's high demand for undergrounding. And so this is a great opportunity for us to engage with the people of California to change the risk profile of California and PG&E together. 
So I would say that when we file our Wildfire Mitigation Plan for next year, we'll be filing that in February-ish, first quarter 2022, you'll get to see the first couple of years of it. But every year, we're going to get better. And every year, we'll do more. And so we really are hesitant to put a cap on it or set an end date because we're going to be very dissatisfied until we have fully derisked the system. 
But I'll let Chris talk about the reconciliation to the rate case as filed.",-2
9961,10291208,163568,277746,"Hasbro, Inc.","One of the biggest changes year-on-year as brands go is the Nerf as we've taken the brand that was primarily a U.S. brand and are rolling it out around the world, you can see the brand was up 33% and certainly, need to ship those additional inventories around the world, those promotional programs and getting lined up for a later launch on September 9. So as we have more of our brands in more geographies around the world, certainly that would drive inventories in total and the macro up.",2
452613,30907335,699296,291981,"NIKE, Inc.","Yes, certainly, on the pricing side, what I would say is that we have been really focused on ensuring that we give the consumer the best value, really start there. And we're making sure that, given the strength of our brand and the power of innovation that we bring into the products, that we have the ability to really command a premium price. And we're able to do that not only in individual markets because we work specifically in each market to make sure that we're paying attention to the market dynamics so that we can obviously give the consumer the most value.",2
70054,9679579,151049,309779,II-VI Incorporated,"Well, fiber lasers are certainly having a good run.  It's doing a lot, a lot welding work, and our subsidiary have called HIGHYAG, which has had a very good year also, is selling 2:1, 3:1 welding heads over cutting heads. So we right now see not an impact to the CO2, the new systems coming down the line. That could change if some development happens, and certainly there is the concern, will more cutting be done by fiber than has been done in the past? It's been a challenge for that tool over the last 3, 4 years. I don't know how it'll play out, but we're working to understand it and our HIGHYAG unit is taking advantage of wherever can win business, whether it's welding or cutting, but I can report right now it's more welding than cutting.",1
414165,27755074,615425,330123,"Prologis, Inc.","Craig, it's Gene. I'll take that one. Generally, the answer to your question is yes, it does look pretty good. If you look across U.S. markets, 3 of them stand out in particular, Dallas, we've mentioned, the Inland Empire and Houston. But in all of those cases, if you study the metrics, you look at where their actual vacancy rates are today, you look at historical absorption and supply as a percentage of stock, it's kind of in balance but it's ramping up quickly. As Hamid mentioned, in Dallas it's ramping up really quickly. So those are 3 markets we have our eyes on. We are very active in development in all 3 of them. There is no doubt as this recovery takes shape that more markets will fall into that category. But none of them are flashing red lights yet at this point.",2
533845,37871433,882990,31063165,"Wyndham Destinations, Inc.","Well, I'll be a prognosticator like many are in the industry. We don't see a downturn in the cycle with what we're seeing right now from our franchisees relative to occupancy trends as well as what we see with rate going through. It may not be increasing at the rate it was a year ago, but we still see strong trending in the hotel sector. As you know, these  the franchise business, we're not necessarily only driven by RevPAR, room growth is very important and as we've seen historically during cycles, frankly, it's sometimes easier to sell franchises during a weak part of the cycle versus strong part of the cycle. But again, I'm not calling a turn to the cycle. Everything we see says that there is still strength in the hotel sector. And I think our results show that, if not for FX, the results would have been very, very positive for the quarter.",2
74047,9980372,156543,280458,"IDACORP, Inc.","Sure, Paul. I think as we have talked before regarding ADITC, again that's really kind of a lever that we kind of manage to get -- that we have the ability to manage to get to the 9.5% in the Idaho jurisdiction. So by -- based on our best estimates, we make a guess to see how much we think it's going to be. And so as we are looking at it now, we believe that earnings would suggest that we only need $13.5 million versus the previously $15 million. So other things have moved around such that we have the ability to have the, at least, estimates to use less ADITC as we sit here today.",0
1150904,65567145,1662545,1534795,"Continental Resources, Inc.","Look at our year-end reserve reporting, you'll see that our oil percentage went up this year by several percentage points. I think we still have some opportunities in that as we go forward. And even within our gas, there's a lot of condensate in there, a lot of NGL. So if you look from a total liquids standpoint, you could add 10% on it from just a pure total liquids standpoint. In terms of the ratio, I gave the oil and gas volumes separately for '19. We're going to continue doing that as we give the granular year-by-year guidance. We -- as we move forward, we do see our oil ratio growing in our 5-year horizon. Both volume sets will be growing, oil and gas. And certainly, where we're at right now, very focused on the oil side.",1
260262,18044128,377525,280458,"IDACORP, Inc.","Well, the 21% that Darrel mentioned before is actually a seasonally shaped capacity. We're looking for 500 megawatts in the summer and 200 megawatts in the winter.",0
161465,14000408,284823,363263,"Huntington Ingalls Industries, Inc.","Well, the time frame really is -- what we're talking about here is we're delivering 1 of the 2 ships in Avondale this year, we're delivering the other one next year. And as soon as the second one delivers, our plan would be to proceed to close the shipyard. So from that standpoint, the time frame, the clock is ticking on the sideline here as we're working our way through this. And we are committed to our Avondale employees to go and turnover every rock to figure this out. We're doing that, but we're still on path right now to close it.",-1
1064521,62409878,1581337,27997,"ICE Mortgage Technology, Inc.","Yes, so the -- we average on about 4 years right now. I mean, our contracts are between 3 and 5. And so in any given year, we're renewing about 1/4 of our customers. So obviously, we did that this year, and obviously, adding on new customers. There is an ability to move things a very small percentage in the contract and existing contracts. But they can't come back and move the seats down materially, while they're in contract. That being said, if a customer is massively distressed and maybe going out of business, we're going to help them out, right? That's kind of -- it's not good for any of us if we don't do that. But the general scheme is, we don't make adjustments there. People are in contract. They're paying their subscriptions. And as I said earlier, we're just not seeing a real difference than what we've seen historically in terms of attrition and contracted seats and dynamics along those lines.",1
694365,46370973,1117576,3632895,Las Vegas Sands Corp.,"Sometime in the future, it will be 85% of the senior management should be Macanese and...",0
182078,14513498,294561,218812,"Arch Resources, Inc.","Michael, no, it's not something we just started recently. Steve and I have been communicating with the board for quite some time, and we started our budgeting process in October, November of a given year. We were starting to talk about seeing some softness as we were kind of putting the budgets together, and it's been kind of evolving process. We didn't think that we would have no winter. We didn't think natural gas prices would continue to decline like they have. So this thing is kind of building, and we just got to the point that we thought it was the right business decision to pull back, manage our business, eliminate our exposure to the thermal markets and manage through this thing. I mean, we've been through these before. We've managed through them well, and our goal was really to come out the other side stronger than we went in. And that's why we continue to focus on the met build out, managing our capital and trying to manage the cost the best we can. So now I wouldn't say it just happened. It was something that we've been talking about for a period of time, and it just progressively got worse, and we reacted to it.",-3
668606,44924962,1072322,277914,Welltower Inc.,"Sure, Vik. It's a combination of a couple of things. One is that we think this is an opportunistic time to be a seller in the seniors housing market; and secondarily, these are portfolios that aren't a perfect fit for our strategy at this point. They're operators that, generally speaking, we're not growing with. And therefore, we're probably better off freeing them up to grow their business with a different capital partner. And helps to have existing portfolio to bring to the table for that. And for the most part, these have quite low payment coverage. So we're optimistic that the triple-net senior housing portfolio that we have left will have improved credit metrics and payment coverage than what we had before.",-1
630698,43336895,1029378,260619,Churchill Downs Incorporated,"So let me make sure I answer the question you asked. You are really inquiring about using sort of branded content within the Big Fish brand or another company using branded slots within their social casino brand. We, as a strategy, have not focused on doing very much of that because the owner of the licensed IP is another mouth that you have to feed. So we're -- certainly, there are plenty of people that are successful doing that. But we're just by nature and background always thinking about margin and always thinking about the cost in association with the revenue. So our first instinct is always to be a bit careful and considerate in our thinking about whether we want to pay more mouths out of our revenue stream. So we always weigh that. We do -- we are willing to do some of it. It just hasn't been our primary strategy for how to grow in the space. But other people are very -- you see them out there, other people have found great success doing that. So I hope there's more than one way to skin the cat over time, but the way Big Fish built its business and the way we think about it now, it's not a primary component of our philosophy to try to rely on branded IP.",0
709849,46796025,1128488,117842106,Andeavor Logistics LP,"We've got a number of scenarios for DAPL. We obviously don't have any unique insight into when that system will actually start up. From an overall customer standpoint, both -- whether it's producer's or other shippers, refiners, if you will, that will be on that system, we'll have multiple connections enabled to serve crude into the system at various different points. So what that looks like, eventually, in terms of timing and how it impacts our full year, obviously, remains to be seen given the uncertain timing around the startup.",0
1423041,78559027,2006899,314896,United States Steel Corporation,"Well, as we said in the materials, it does have a 4 million-ton offtake so we look at that as not really a significant change in terms of the volumes. But overall, it's going to be beneficial across the terms of the contract.",2
937290,56984051,1432264,369991357,Alcoa Corporation,"I think it's a good question, Justin, and I don't think we have an answer for you. So it's all tied up with who feels impelled by the U.S. sanctions and the knock-on direct and indirect impacts on financial institutions, et cetera, who would be willing to do that.",-1
1052534,62080257,1573692,405277,Celanese Corporation,"Yes. What -- yes, not really. If you look at where we are from an earnings point of view, the buyback we're talking about is a pretty de minimis effect, and so it would imply that we have the ability to forecast things in the $0.10, $0.20 kind of range, and we don't have that ability. So no, not in there.",0
217716,16124799,333055,388590,First Niagara Financial Group Inc.,I think there will be a mix of deposit growth and loan growth and combining those relative to what we think the right mix for the securities book is.,3
194259,14833093,301366,27755,"Dun & Bradstreet Holdings, Inc.","Yes. So a couple of things. We try to view our business as a truly flexible business, where every dollar has to justify itself, and we do flex it with revenue. Our belief is that if our revenue falls short of our expectations, it is our obligation to flex our cost base appropriately. So let's talk a little bit about the mechanics of how this one works, because I think it's a good instructive example. Because we'll be down to a degree, we have some level of variable costs, so right off the bat, some of that stuff's going to fall out. We always go into the year, though, with a level -- we tend to be a conservative company, with a level of conservatism in our cost base. So we've got some contingency which we hold in the event that things don't work out perfectly. And we always have a continuous pipeline of new work that we're doing because we have a continuous reengineering model, and we typically space those out over time but we can accelerate them. In fact, if you look at last year, I think I mentioned on the last call, we did a Hoover's integration. We ended up doing that in the September period of last year. We'd originally anticipated doing that this year. So oftentimes, we will accelerate programs when it makes sense to do so. If you take a look at the overall impact and what we're covering right now, it's about 1/3 of it is from the [indiscernible] costs, about 1/3 of it is from the conservatism that we've built into the forecast and the last 1/3 is by bringing some of the reengineering programs forward.",-1
625271,43154294,1024542,327880,Boyd Gaming Corporation,"I don't have a lot more color. We said, Josh said and I said in my prepared remarks, we still expect this to close in the early fourth quarter. They've asked some additional questions or asked some additional information. They haven't highlighted anything in particular that they're concerned about. They've just asked for some additional information. So we just see it as a normal part of the process. Kind of no incremental concerns.",1
603937,42670000,1012783,159230,Raytheon Technologies Corporation,"Yes, and just to clarify, Sam, the increase in receivables that you refer to, some of it has to do with the acquisition that we had. And also, we had a very strong June, as Paul referred to in the script. So when you have late sales in the quarter, you tend to have more receivables because you just haven't had enough time to collect it as part of your normal terms.",2
401934,26596340,585407,297526,Portland General Electric Company,"If you model this stuff, the best way to model it is to do your base, net income and then you have to look at the wind generation historically to factor in the production tax credit. The PTCs are a real driver to a lower tax rate. So we are at the marginal rate of around 40% and then you have to subtract out the tax credits that we get from the wind farm. You can look at historic averages on wind and the tax credit in 2014 is $23 a megawatt hour.",0
167417,14118526,287080,107405,"D.R. Horton, Inc.","Yes, when we've been talking about the recoveries, we've been speaking about the sequential change. And so of our sequential change you have 80 basis points from Q1 to Q2, about 60 basis points of that is coming from the reimbursements, which it is around $5 million in total, of which $2.4 million related to Chinese drywall. The remaining 20 basis points, the remaining change is something that's just ongoing. There's always some fluctuation from quarter-to-quarter based on activity in terms of our costs, activity in terms of just the way some of our costs settle out and the way we have to adjust our estimates.",-1
328208,21368468,456652,12633071,Koppers Holdings Inc.,"Yes. Excluding the Chinese JV, we're still looking at the $32 million to $34 million mark on our CapEx this year, and really, truly, putting more and more of that into productivity projects, which will obviously have some pretty good paybacks going forward.",2
15865,76825434,1955934,6565801,ITC Holdings Corp.,"No, I don't think I think keeping with our historical approach, when we have projects that are advanced to the points where we have confidence in our ability to deliver on those we will talk about them more specifically. In the interim, I think you should rest assured that we view development and in our development -- develop new projects is a critical aspect of our strategy and it's one that we spend a tremendous amount of time focused on and we're working diligently to development new projects in the markets where we are active and I think we have a great deal of confidence on our ability to do that and as we have more details to share around specific activities, we will.",1
1029724,60850503,1540675,26175,"Casella Waste Systems, Inc.","Yes, we did. As we look out over a 3-year period of time for each of our landfills, we're looking at a build cycle and with some of the mix shifts and some of the new acquisitions we're bringing online, we're advancing some of our landfill construction game plan in 2018 to get ahead of ourselves for 2019 to position ourselves well. As we talked about, we've got a couple of acquisitions in the near-term pipeline, and we're trying to also prepare so we can vertically integrate those quickly.",1
331414,21636567,463748,33424519,"BWX Technologies, Inc.","Sure. You're correct. We're looking at acquisitions, as well as share repurchase. The key on the acquisition is we're looking for the right acquisition. An opportunity that's tied to our core competencies and one that brings significant either cost or revenue synergies with it. The reality is any acquisition that we're going to pursue has to provide more value to the shareholders than a buyback of our shares today. I think we have a very disciplined approach to that evaluation process and we'll continue that going forward. Your question about taking on debt. If we found the right acquisition opportunity, we would consider taking on debt to fund it, but it has to be the right acquisition opportunity. And then just a comment on the speed of the share buyback program you referenced, we were pretty aggressive in the marketplace the last few months. We did receive from the board the additional authorization for another $250 million. I would expect us to remain opportunistic in the marketplace, as the year goes on, but perhaps not at quite the pace of the last 8 months.",2
722221,47185850,1138664,318091,"Macy's, Inc.","Sure, I'll start. And Karen, you might want to fill in. But so to answer your question, Kimberly, first is the -- do we have a full set of strategies to address the needs to turn our business in the right direction? I'd say the answer is they're still developing. We're going to be talking about some of the strategies that we have developed in the near term. We've got a meeting planned for our internal organization to express some of these new ideas and thoughts. But I can assure you that there's more to do. We feel great about the progress, the investments we've made on our digital platform with our online business chugging along nicely and very well developed. As Karen said, the investments we've made in our Macy's app has been very positively received. So we're doing some good things there. But clearly, the answer has to lie in our conversion of consumers who are shopping in our physical stores into sales instead of just shopping and browsing and then clicking and buying either at macys.com or somewhere else, converting them into purchasers inside of our stores. And we've got test stores lined up, we've got a lot of exciting things that we're testing and doing. But as Karen alluded to, it'll be a bad idea for us to just roll those out immediately and hope they work. So rather, we're going to spend '17 to try various new formats that we do believe will improve our conversion rate. And then the ones that do work, as we've experienced and we've figure out with ladies' shoes and with fine jewelry, we'll do those and roll that out hopefully later in the season in '17 and '18. So those are still underway. And then to your point about is this different than the prior setbacks that we've faced? I would say, yes, it is different. But each time has been different. And so this time, I think the positive this time is that consumers have money to spend. They are spending on automobiles and they're spending on health care and they're spending on home improvement and they're spending on all those things. I actually thought that they would spend less on those items in 2017, believing that they have been spending in those same categories in '16. But that is not what happened. They continue to spend in those same categories in '17 -- I'm sorry, in '16 as they did in '15. And so at some point in time, you've got to believe that everybody's going to have a brand-new car. At some point in time -- we've just had record after record performance of automobile sales. At some point in time, there's dollars that are going to be freed up for other categories of spending. And when they get to these categories, we have to be a major consideration. So one of the key strategies that we are working -- we are performing well in our exclusive and unique product. And as we've mentioned, the product brand sales are doing better than the market sales. The brands that we have from the market that are sold only at Macy's, brands like Tommy Hilfiger as an example, are selling significantly better than the more broadly distributed brands. And so we have to work that out with our vendor partners because supply and demand has become a real issue here and an opportunity for those who are working with us.",-2
816552,51341372,1268197,363263,"Huntington Ingalls Industries, Inc.","That could carry on 12 to 24 months. We are still negotiating informally with the Navy to try to get to resolution, but that could take a year to 1.5 years, 2 years.",-1
1003993,59895873,1514247,225838735,New Residential Investment Corp.,"We, as I pointed out earlier, Bruce Williams, who leads that business along with Jack Navarro and Kevin Harrigan, do a great job. I said -- we will continue to -- we dedicate a lot of resources there, a lot of brain power. We're going to continue to try to grow it collectively together only if it makes sense. I mean, we are in the money-making business and we want to create value for shareholders. So I would expect that business to continue to grow. As it relates to M&A, if there's things that fit what we're trying to do in our portfolios or with our partners, we'll continue to acquire, whether it would be companies and/or assets that we think makes sense for shareholders.",1
1177328,67011122,1704008,303104,The Sherwin-Williams Company,"Yes. The tax rate -- and I'll talk to the core tax rate. We expect to be in the low 20%. Obviously, we're a little bit lower than that in the first quarter, but comparable with last year because of the favorable impact you get on stock comp is heavier in the first quarter. Just historically, there's been more options exercised. Then we have some vesting of our issues. As far as the share buybacks, I think we are going to be opportunistic and we were in the first quarter with where we saw our stock price. I think you have done the math on free cash flow on our last call and got a little bit higher directionally than I would have been. I think your number was $800 million to $1 billion. So I might be a little bit lower than that, but it's going to depend on the M&A activity and how that unfolds throughout the year. That will determine how much we ultimately buy.",1
1180225,67109166,1707443,33174798,"Fortune Brands Home & Security, Inc.","Because we've been pretty clear eyed in looking at the cabinet industry over the last couple years and have taken a lot of action to control what we can control, and we're really encouraged with the progress that we've made there and the results that we're delivering. And I'm not sure that ownership change in our competitors is going to impact that. We are confident in what we're doing and the success that we're having and where we're having it and the plans that we've got and the further actions that we're going to take. And so we feel that we're competitive irrespective of the changes in the dynamics in the industry. We've taken tough actions, and as I said earlier, there hasn't been as evidenced last year as they will be this year. So things externally will play out the way they'll play out. We'll be competitive against whoever else is in the marketplace, and we feel comfortable with the strategies that we're executing on.",1
518219,68850580,1758401,262747167,"AAC Holdings, Inc.","Yes, there is, absolutely, relating to all of those. So we've got a ramping up that we expect with the Tampa opening. We've got expenses related to the corporate relocation. We've got a lot of additional assets that we just articulated that will contribute to our expenses in the second half. We talked about a little lower ADR so we would expect on the EBITDA side to see a little bit impact as it relates to that as well.",-1
1021998,60537766,1532041,18711,The Allstate Corporation,"Okay, no. So in the auto insurance business, you've seen over the -- and so if you go back to 2015, 2016, we were early on increasing prices. Other people -- we saw that coming perhaps slightly earlier than some people. Then, you saw a number of companies start to increase prices after that period of time. You see that moderating with many competitors now, but there are some, particularly one direct company who's still taking some pretty big price increases. State Farm did recently reduce their price in a number of states, but I think you have -- rather than look at it on a percentage basis, think about what the absolute price is because if you come down 2% or 3%, but you're 10% higher than.
[Audio Gap] 
really matter that much. If you -- it's all on what your absolute price is. And we feel very comfortable with where our absolute price is today when we look at our close rates relative to number of quotes we get. And so we feel good about where we're positioned in the industry. And don't think there's any like big price war coming, if that's what's in your mind. And Glenn, maybe you want to add something to that?",1
572906,40614494,956365,288255,"Iconix Brand Group, Inc.","This is Willy. We continue to evaluate that. I think as we discussed even on the last call, the Candie's business in China is doing remarkably well, very strong growth. So right now, we don't have any plans to seek a monetization event, but it's something that we evaluate, frankly, on a quarter-by-quarter basis, so we don't have any expectation of such an event. But we'll see how things go. I think given what's happened in China and what's happened in terms of just Xp Multiples [ph], it would probably be prudent for us to wait. But we'll just have to evaluate quarter by quarter.",2
831242,51956654,1285810,250549,American Woodmark Corporation,"There's a lot in there. It's a -- strategically, I've been talking for some time, as really the mix does start to shift towards more of an opening price point consumer. Overall, big picture, it's much better for the industry. I think it will unleash some pent-up demand, both in R&R as well as new construction, move up and move down buyers and so forth. So I think for the industry, as whole, it's very positive for us. It will be very positive. Also from a mixed shift perspective, as you move down towards the opening price point, you're going to see your take -- move down. And that can be a challenge for most in our industry with regards to the margin, which is why we're very focused on that opening price point solution. But I think the bigger question is, right now, we're just not seeing a big shift towards that. The good thing is we -- like I said earlier is we can, I will say, control our mix. We do have influence over our mix on obviously what we bid. Pricing is still very high out in the market right now. The average square footage home is still very high. We're seeing some markets that are expanding on the opening price point, but it's fairly limited really with regards to the impact on mix. We're seeing -- still continue to see a favorable mix in our industry from a pricing point perspective, but it will come. It has to come. And that's just why we are very strategically focused on finding a solution for that lower price point. And if that means we do it organically, we'd do it organically. But we absolutely are going to find a solution.",1
1325360,72968442,1865072,84223462,"Phillips Edison & Company, Inc.","Great, thanks, Jeff. The next question comes from Michael Kirk from Kirk Financial. Number one is, when will the REIT revalue? And number two, any indication of whether the share price would increase or decrease?",0
525532,36821528,853756,284668,"LSB Industries, Inc.","Bruce, I don't think I'm prepared to answer exactly what the gap is right now. I think we need to do a little bit more work to do that, and it's too early in the game. But clearly, I've outlined that if we are at $680 million instead of $660 million, we've got a cash deficit.",-2
